url,smartphone
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy A7 128GB Dual Chip Android 8.0 Tela 6"" Octa-Core 2.2GHz 4G Câmera Triple - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP - Ultravioleta"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Motorola Moto G7 64GB Dual Chip Android Pie - 9.0 Tela 6.24"" 1.8 GHz Octa-Core 4G Câmera 12 + 5MP (Dual Traseira)- Branco Polar"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"iPhone X Prata 64GB Tela 5.8"" IOS 11 4G Wi-Fi Câmera 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1” Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Branco
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy M30 64GB Dual Chip Android 8.1 Tela 6.4"" Octa-Core 4G Câmera 13MP +5MP+5MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,iPhone Xr 64GB Azul IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,Smartphone Samsung Galaxy S10 128GB Nano Chip Android Tela 6.1'' Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Azul
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,iPhone SE 32GB Ouro Rosa IOS 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-2,"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,Smartphone Samsung Galaxy S10 128GB Dual Chip Android Tela 6.1” Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Motorola Moto G6 32GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone SE 32GB Cinza Espacial IOS 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone Xs 512GB Cinza Espacial IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone Xs Max Prata 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy A9 128GB Dual Chip Android 8.0 Tela 6.3"" Octa-Core 2.2GHz 4G Câmera 24MP (f1.7) + 5MP (f2.2) + 10MP (f2.4) + 8MP (f2.4) - Rosa"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz  4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone 7 256GB Ouro Rosa Desbloqueado IOS 10 Wi-fi + 4G Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy A10 32GB Dual Chip Android 9.0 Tela 6.2"" Octa-Core 4G Câmera 13MP - Vermelho"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz 4G Câmera 8MP - Cobre"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy A7 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 2.2GHz 4G Câmera Triple - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Motorola Moto G6 64GB Dual Chip Android Oreo - 8.0 Tela 5.7"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Motorola Moto G6 Plus Dual Chip Android Oreo - 8.0 Tela 5.9"" Octa-Core 2.2 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone Xr 256GB Coral IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,Smartphone Samsung Galaxy J2 Core - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Motorola Moto Z3 Play 128GB  Dual Chip Android Oreo - 8.0 Tela 6"" Octa-Core 1.8 GHz 4G Câmera 12 + 5MP (Dual Traseira) - Ônix"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy J6 32GB Dual Chip Android 8.0 Tela 5.6"" Octa-Core 1.6GHz 4G Câmera 13MP com TV - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"iPhone 6S Plus 32GB Rosê Tela 5,5"" IOS 4G Câmera 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy M30 64GB Dual Chip Android 8.1 Tela 6.4"" Octa-Core 4G Câmera 13MP +5MP+5MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz  4G Câmera 8MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,iPhone XR 128GB Vermelho Tela 6.1” iOS 12 4G 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy S10+ 512GB Dual Chip Android 9.0 Tela 6,4"" Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Ceramic Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy J2 Prime Dual Chip Android 6.0.1 Tela 5"" Quad-Core 1.4 GHz 16GB 4G Câmera 8MP - Dourado"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-3,"Smartphone Samsung Galaxy S10e 128GB Dual Chip Android 9.0 Tela 5,8"" Octa-Core 4G Câmera 12MP + 16MP - Amarelo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone LG K11+ 32GB Dual Chip Android 7.1.2 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Samsung Galaxy J2 Core 16GB Dual Chip Android 8.1 Tela 5"" Quad-Core 1.4GHz 4G Câmera 8MP - Prata"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone Xr 128GB Coral IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Asus Zenfone Max Pro (M1) 32GB Dual Chip Android Oreo Tela 6"" Qualcomm Snapdragon SDM636  4G Câmera  13 + 5MP (Dual Traseira) - Prata"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Samsung Galaxy A20 32GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Dupla 13MP + 5MP - Vermelho"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,Smartphone Motorola Moto E5 Plus XT1924-3 Dual SIM 32GB Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone Xr 64GB Coral IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Asus Zenfone 5 Selfie Pro 128GB Dual Chip Android Nougat Tela 6"" Snapdragon 630 Octa-Core 4G Câmeras Frontal 20MP + 8MP Traseira 16MP + 8MP 3000mAh - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Zenfone Asus Max Shot M2 ZB634KL-4A006BR 64 GB Dual Chip Android Oreo Tela 6,2” Qualcomm QSP SIP1 4G Câmera tripla 12MP+5MP+8MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone Xs 512GB Prata IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone LG K12 Plus 32GB Dual Chip Android 8.1 Oreo Tela 5,7""  Octa Core 2.0GHz 4G  Câmera 16MP Inteligência Artificial - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Motorola Moto Z3 Play - Power Pack & Dtv Edition Dual Chip Android Oreo - 8.0 Tela 6"" Octa-Core 1.8 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone LG K9 TV Dual Chip Android 7.0 Tela 5"" Quad Core 1.3 Ghz 16GB 4G Câmera 8MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Samsung Galaxy J4 32GB Dual Chip Android 8.0 Tela 5.5"" Quad-Core 1.4GHz 4G Câmera 13MP - Violeta"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone Xs Prata 256GB IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone Xr 256GB (Product)Red IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Samsung Galaxy A7 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 2.2GHz 4G Câmera Triple - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone LG K12 Plus 32GB Dual Chip Android 8.1 Oreo Tela 5,7""  Octa Core 2.0GHz 4G  Câmera 16MP Inteligência Artificial - Platinum"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Motorola Moto Z3 Play Dual Chip Android Oreo - 8.0 Tela 6"" Octa-Core 1.8 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,Usado: Iphone 7 Apple 32gb Preto Matte
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Motorola Moto G7 Plus 64GB Tela 6.24"" (Dual Traseira) 16MP+5MP Índigo + Cartão SD 16GB"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,"Smartphone Lenovo K8 Plus Dual 32gb 5.2"" 13+5mp/8mp Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-4,iPhone XR 256GB Preto Tela 6.1” iOS 12 4G 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Zenfone Asus Max Shot M2 ZB634KL-4D008BR 64GB Dual Chip Android Oreo Tela 6,2” Qualcomm QSP SIP1 4G Câmera tripla 12MP+5MP+8MP -  Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Samsung Galaxy J4+ 32GB Dual Chip Android Tela Infinita 6"" Quad-Core 1.4GHz 4G Câmera 13MP - Cobre"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Motorola Moto G6 32GB Tela 5.7"" 4G Dual Cam 12 + 5MP Índigo + Cartão SD 16GB"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Asus Zenfone 5 64GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Prata"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,Usado: Iphone X Apple 256gb Cinza
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Iphone 6 32GB Dourado, Tela 4.7"" IOS 8, Câmera 8MP, 4G Processador 1.4 Ghz Dual Core - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone LG K9 TV Dual Chip Android 7.0 Tela 5"" Quad Core 1.3 Ghz 16GB 4G Câmera 8MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Samsung Galaxy A8 Dual Chip Android 7.1 Tela 5.6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Dourado"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone LG K10 Pro Dual Chip Android 7.0 Tela 5.7"" Octacore 1.5 Ghz 32GB 4G Câmera 13MP - Dourado"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"iPhone 6s 64GB Dourado Tela 4.7"" iOS 9 4G 12MP - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Motorola Moto G7 Play  Edição Especial 32GB Dual Chip Android Pie - 9.0 Tela 5.7"" 1.8 GHz Octa-Core 4G Câmera 13MP - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Asus Zenfone 5 Selfie Pro 128GB Dual Chip Android Nougat Tela 6"" Snapdragon 630 Octa-Core 4G Câmeras Frontal 20MP + 8MP Traseira 16MP + 8MP 3000mAh - Branco"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Asus Zenfone 5z 6GB 128GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 845 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Prata"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone LG K11+ 32GB  Dual Chip Android 7.0 Tela 5.3"" Octa Core 1.5 Ghz 4G Câmera 13MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Motorola Moto E5 Dual Chip Android Oreo - 8.0 Tela 5.7"" Quad-Core 1.4 GHz 16GB 4G Câmera 13MP - Platinum"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,iPhone Xs Max Ouro 512GB IOS12 4G + Wi-fi Câmera 12MP - Apple
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone LG K9 TV Dual Chip Android 7.0 Tela 5"" Quad Core 1.3 Ghz 16GB 4G Câmera 8MP - Dourado"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Asus Zenfone 5 128GB Dual Chip Android Oreo Tela 6.2"" Snapdragon 636 Octacore 4G Câmera 12MP + 8MP (Dual Traseira) 3300mAh - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Samsung Galaxy J8 64GB Dual Chip Android 8.0 Tela 6"" Octa-Core 1.8GHz 4G Câmera 16MP F1.7 + 5MP F1.9 (Dual Cam) - Prata"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,Usado: Iphone 7 Apple 32gb Rosa
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Motorola Moto X4 Dual Cam Android 7.0 Tela 5.2"" Octa-Core 32GB Wi-Fi 4G Câmera 12MP - Azul Topázio"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,Usado: Iphone 7 Apple 128gb Prata
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,"Smartphone Asus Zenfone Live L1 32GB Dual Chip Android Oreo Tela 5,5"" Qualcomm Snapdragon MSM8937 1,4 GHz 4G Câmera 13MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-5,Zenfone Max Plus M2 3GB 32GB - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"Smartphone Samsung Galaxy A8 Plus Dual Chip Android 7.1 Tela 6"" Octa-Core 2.2GHz 64GB 4G Câmera 16MP - Ametista"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"Smartphone Motorola Moto Z3 Play - Stereo Speaker Edition Dual Chip Android Oreo - 8.0 Tela 6"" Octa-Core 1.8 GHz 64GB 4G Câmera 12 + 5MP (Dual Traseira) - Índigo"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"iPhone 6 32gb Cinza Espacial, tela 4.7"" IOS 10, Camera 8MP, 4G Processador A8 1.4 GHz Dual Core - Apple"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"Smartphone Samsung Galaxy J4 Core 16GB Nano Chip Android Tela 6"" Quad-Core 1.4GHz 4G Câmera 8MP - Azul"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Motorola Moto C 8gb Xt1750
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Usado: Iphone 6 Apple 16gb Cinza Espacial
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Usado: Iphone 7 Apple 128gb Preto Matte - Bom
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Smartphone Celular Cat S60 Dualsim 4G 3G RAM 32GB
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"iPhone 6s Plus 64GB Prata, Tela 5,5” com 3D Touch, Touch ID, Câmera iSight 12M - Appl"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"Smartphone Sony Xperia Z5 Android 5.1 Tela 5.2"" 32GB 4G Câmera 23MP - Preto"
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Usado: Iphone 6 16gb Cinza Espacial Muito Bom - Trocafone
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,Smartwatch Samsung Galaxy Watch Active Sm-r500 20 Mm Com Wi-fi Bluetooth Gps - Preto
https://www.submarino.com.br/categoria/celulares-e-smartphones/smartphone/pagina-6,"Smartphone Asus Zenfone Max Pro M1 64gb/4gb Dual Chip Android 8.0 Tela 6.0"" + Qualcomm Snapdragon 1.8ghz 4g Câmera Dual 16mp+5mp - Azul"
